entry_i,entry_p,atr,tp,sl,hp_i,slope,intercept,resist_s,tl_err,max_dist,vol,adx,exit_i,exit_p,return
174,2.3122013,0.0009690266997440797,2.315108341619618,2.3092941814211536,234,-1.5691612798994602e-05,2.312400227345141,-0.016193168674442884,0.11536337933574704,0.23883973008878265,7.453500539947606,18.66177476578155,234.0,2.3117428,-0.00045847893
238,2.311956,0.001029049966028939,2.315043078700577,2.3088687789044036,298,7.864879541153704e-06,2.311813157143577,0.007642854866905975,0.08807685982894693,0.16797953713950406,19.37491261333652,17.347507691103058,298.0,2.3122177,0.0002617836
305,2.3122134,0.0011173636874971225,2.3155655119304113,2.3088613298054286,365,-3.6045042948781736e-05,2.312667306773968,-0.03225900693938075,0.104678360571456,0.3007644639143429,0.17377423325781566,17.209336455879633,365.0,2.3131878,0.00097441673
374,2.3129048,0.0011986234694343044,2.3165007051556175,2.3093089643390114,434,-5.381910596038792e-05,2.3136102362768725,-0.04490076102530187,0.1341847601195777,0.36254756792282694,0.4299406974962873,21.313173115009256,434.0,2.3126287,-0.00027608871
435,2.3126206,0.001027845254518293,2.3157041755645804,2.3095371040374704,495,-1.5278425552328753e-06,2.3126401463680937,-0.0014864519231048156,0.04383081305971287,0.12413140736038858,0.011535552223307667,21.95206646678111,495.0,2.313107,0.0004863739
496,2.3131232,0.0008775674162914138,2.315755928414646,2.310490523916897,556,1.9744040112294294e-07,2.3131025657057456,0.00022498602096842086,0.06806718069435916,0.2174298698951939,0.07103789427310443,15.029939712300207,556.0,2.313454,0.00033068657
564,2.3130343,0.001035314209762755,2.3161402386650547,2.3099283534064785,624,-0.00014947344851271127,2.315044819910994,-0.14437496086039764,0.395322059365366,1.5755602506901705,1.1177795094723233,26.862100912407424,624.0,2.3133574,0.00032305717
631,2.3133411,0.0010399298173266198,2.31646093019905,2.3102213512950907,691,-8.920991000151431e-06,2.3134503571370075,-0.00857845486446855,0.06175579530124179,0.17861662463562053,0.07903364348884358,11.10224087945535,691.0,2.31258,-0.0007610321
693,2.3127751,0.0009517890527533546,2.3156305021985433,2.309919767882023,753,-5.891312624593448e-05,2.3135696881690966,-0.06189725136626587,0.17632367381622663,0.39267559930212165,1.119835269528444,29.585200774459054,753.0,2.3128116,3.6478043e-05
765,2.3126614,0.0009456758884786164,2.3154984370434875,2.309824381712616,825,-1.9151021530527022e-05,2.3128690661474773,-0.020251147104254488,0.0575575264371594,0.19076252065172725,18.51881737451511,9.208648243513606,825.0,2.312568,-9.346008e-05
826,2.3126125,0.0009139897230842388,2.3153545027385887,2.309870564400083,886,7.20925229969299e-06,2.3125032928040534,0.007887673261101364,0.13655110508508603,0.4107969669111444,1.2616503638895729,13.918722752966849,886.0,2.3132403,0.0006277561
889,2.3133936,0.000828359808603381,2.3158786722602827,2.3109085134086627,949,1.7608471770068877e-06,2.313272714614868,0.00212570329791312,0.0871035729548822,0.17918011542025558,7.079727412276559,34.776316426598065,949.0,2.3143156,0.00092196465
952,2.3145664,0.0010886958500754798,2.3178324613753,2.3113002862748466,1012,-4.1038767877284835e-06,2.314547077306302,-0.0037695347028685374,0.11661630398828243,0.31536644510803186,4.856262082758511,13.886040690663467,1006.0,2.3181293,0.0035629272
1007,2.318282,0.0018751147172899045,2.323907233113662,2.312656544809922,1067,0.00012639935586811627,2.316349983215332,0.06740886554973059,0.5058023108558395,0.9587619342334736,60.531212746109375,27.990249426581673,1067.0,2.3194609,0.0011789799
1077,2.3187122,0.00248682024971036,2.326172695246201,2.3112517737479394,1137,-0.00011037317872876323,2.320012734729093,-0.044383255581748784,0.0967219141970889,0.2667006660218581,0.7408021797301355,28.193708480164197,1137.0,2.3194644,0.0007522106
1145,2.3189206,0.002301696098453964,2.325825700630567,2.3120155240398432,1205,-8.166431287229839e-05,2.3200308381964416,-0.035480058782370025,0.16938897836802916,0.45769823397536835,0.2210605259264424,15.84046606769801,1205.0,2.3189964,7.581711e-05
1213,2.319393,0.001996725684884889,2.32538309659506,2.3134027424857506,1273,1.831157756387831e-06,2.3193158144565795,0.0009170802831102948,0.10192720243368343,0.18742240619042247,0.33845844532208835,30.787296012222257,1273.0,2.3187463,-0.0006465912
1274,2.3187652,0.0017197528374516269,2.323924421933986,2.313605904909276,1334,-1.9949314306633835e-05,2.319025618754175,-0.01160010547573524,0.048473547530376915,0.1309227344986482,0.9501023445821756,15.222885917973423,1334.0,2.3166418,-0.0021233559
1335,2.3167622,0.0016880394060040838,2.321826327156611,2.3116980907205864,1395,-7.850911419330777e-05,2.3178038597106934,-0.046509052996075516,0.20998080557329613,0.44022166800142165,2.4964316469554064,45.84441122773082,1395.0,2.3131757,-0.0035865307
1399,2.3142874,0.0020505547776468176,2.3204390884204646,2.308135759754584,1459,-0.00018311935085131751,2.3167284645571766,-0.08930234532015878,0.32624567419946543,0.7502718100531439,34.572511616209994,47.29665219440811,1459.0,2.3149908,0.0007033348
1465,2.3151016,0.002276852045785259,2.321932179672512,2.3082710673978006,1525,-2.7888223456714708e-05,2.315484046936035,-0.012248588356164528,0.07308329160883287,0.2513198393805142,0.07962619005482462,18.171227279192003,1525.0,2.3128278,-0.002273798
1526,2.312836,0.0024653300379407607,2.3202319218917764,2.305439941664132,1586,-1.7696369039482432e-05,2.313065635658001,-0.00717809330480711,0.16358066054082918,0.5323157853917128,1.9924462660609674,31.812955425194563,1586.0,2.3138838,0.0010478497
